ngram,count,label,n
condition,1622,REJECT,1
important,1243,REJECT,1
mathrm,1121,REJECT,1
disorder,1092,REJECT,1
strong,1069,REJECT,1
mental,1014,REJECT,1
text,990,REJECT,1
help,868,REJECT,1
support,857,REJECT,1
symptoms,857,REJECT,1
health,804,REJECT,1
one,768,REJECT,1
individuals,754,REJECT,1
lead,691,REJECT,1
however,675,REJECT,1
often,673,REJECT,1
need,632,REJECT,1
others,628,REJECT,1
make,618,REJECT,1
understand,605,REJECT,1
following,591,REJECT,1
disorders,567,REJECT,1
like,566,REJECT,1
life,553,REJECT,1
medical,543,REJECT,1
treatment,533,REJECT,1
feel,520,REJECT,1
social,520,REJECT,1
behavior,504,REJECT,1
understanding,502,REJECT,1
em,499,REJECT,1
first,497,REJECT,1
cause,494,REJECT,1
use,485,REJECT,1
dangerous,483,REJECT,1
someone,470,REJECT,1
time,467,REJECT,1
right,464,REJECT,1
experience,463,REJECT,1
factors,457,REJECT,1
physical,448,REJECT,1
find,442,REJECT,1
way,441,REJECT,1
even,428,REJECT,1
anxiety,424,REJECT,1
explain,406,REJECT,1
ability,399,REJECT,1
sleep,394,REJECT,1
conditions,392,REJECT,1
difficulty,386,REJECT,1
problems,380,REJECT,1
difficult,379,REJECT,1
control,379,REJECT,1
problem,378,REJECT,1
god,368,REJECT,1
illness,367,REJECT,1
work,367,REJECT,1
rather,360,REJECT,1
self,357,REJECT,1
depression,349,REJECT,1
lack,347,REJECT,1
example,347,REJECT,1
think,347,REJECT,1
different,344,REJECT,1
brain,343,REJECT,1
person's,341,REJECT,1
psychological,335,REJECT,1
where,334,REJECT,1
get,332,REJECT,1
result,332,REJECT,1
causes,329,REJECT,1
well,329,REJECT,1
answer,327,REJECT,1
behaviors,325,REJECT,1
now,325,REJECT,1
up,323,REJECT,1
characterized,318,REJECT,1
individual,315,REJECT,1
sexual,314,REJECT,1
it's,313,REJECT,1
sinful,311,REJECT,1
due,311,REJECT,1
affects,310,REJECT,1
include,308,REJECT,1
write,308,REJECT,1
body,308,REJECT,1
know,306,REJECT,1
conclusion,305,REJECT,1
two,302,REJECT,1
children,300,REJECT,1
out,298,REJECT,1
society,292,REJECT,1
affect,289,REJECT,1
recognize,288,REJECT,1
based,286,REJECT,1
able,286,REJECT,1
lives,286,REJECT,1
fear,284,REJECT,1
certain,282,REJECT,1
caused,282,REJECT,1
believe,281,REJECT,1
common,277,REJECT,1
theme,276,REJECT,1
number,273,REJECT,1
true,271,REJECT,1
fact,271,REJECT,1
disease,271,REJECT,1
function,268,REJECT,1
provide,268,REJECT,1
themselves,267,REJECT,1
complex,267,REJECT,1
including,254,REJECT,1
therefore,251,REJECT,1
crazy,251,REJECT,1
blame,245,REJECT,1
statement,242,REJECT,1
god's,241,REJECT,1
wrath,239,REJECT,1
instead,238,REJECT,1
moral,237,REJECT,1
feelings,237,REJECT,1
seen,235,REJECT,1
want,231,REJECT,1
firstly,231,REJECT,1
idea,230,REJECT,1
impact,228,REJECT,1
something,226,REJECT,1
mean,225,REJECT,1
negative,225,REJECT,1
end,225,REJECT,1
anyone,224,REJECT,1
question,223,REJECT,1
manage,222,REJECT,1
character,220,REJECT,1
cannot,219,REJECT,1
remember,218,REJECT,1
things,216,REJECT,1
child,215,REJECT,1
term,214,REJECT,1
issues,214,REJECT,1
given,212,REJECT,1
consider,212,REJECT,1
information,212,REJECT,1
likely,210,REJECT,1
type,210,REJECT,1
patient,210,REJECT,1
using,209,REJECT,1
array,208,REJECT,1
family,205,REJECT,1
sin,205,REJECT,1
take,205,REJECT,1
process,204,REJECT,1
another,202,REJECT,1
harmful,202,REJECT,1
form,200,REJECT,1
additionally,200,REJECT,1
used,199,REJECT,1
evidence,198,REJECT,1
personality,198,REJECT,1
requires,197,REJECT,1
stigma,197,REJECT,1
words,196,REJECT,1
making,196,REJECT,1
ways,193,REJECT,1
live,193,REJECT,1
note,191,REJECT,1
job,191,REJECT,1
tics,190,REJECT,1
belief,189,REJECT,1
severe,188,REJECT,1
emotional,188,REJECT,1
punishment,188,REJECT,1
beliefs,186,REJECT,1
around,184,REJECT,1
possible,184,REJECT,1
year,183,REJECT,1
good,183,REJECT,1
point,182,REJECT,1
associated,182,REJECT,1
situations,181,REJECT,1
serious,181,REJECT,1
personal,181,REJECT,1
disability,181,REJECT,1
significant,180,REJECT,1
stress,180,REJECT,1
difficulties,179,REJECT,1
issue,178,REJECT,1
see,177,REJECT,1
resources,177,REJECT,1
value,176,REJECT,1
still,176,REJECT,1
experiences,175,REJECT,1
system,175,REJECT,1
means,174,REJECT,1
therapy,174,REJECT,1
facing,174,REJECT,1
part,174,REJECT,1
contribute,172,REJECT,1
patients,171,REJECT,1
daily,170,REJECT,1
please,169,REJECT,1
determine,168,REJECT,1
school,168,REJECT,1
sense,168,REJECT,1
treated,168,REJECT,1
contagious,168,REJECT,1
vote,167,REJECT,1
years,167,REJECT,1
day,165,REJECT,1
usually,164,REJECT,1
challenges,164,REJECT,1
loss,164,REJECT,1
describe,163,REJECT,1
considered,163,REJECT,1
rate,163,REJECT,1
times,163,REJECT,1
world,162,REJECT,1
pain,162,REJECT,1
consequences,162,REJECT,1
develop,162,REJECT,1
actions,161,REJECT,1
normal,161,REJECT,1
suffer,161,REJECT,1
neurological,161,REJECT,1
long,160,REJECT,1
word,160,REJECT,1
struggle,160,REJECT,1
unable,159,REJECT,1
activities,158,REJECT,1
begin,158,REJECT,1
care,157,REJECT,1
left,157,REJECT,1
create,156,REJECT,1
don't,156,REJECT,1
less,156,REJECT,1
energy,156,REJECT,1
specific,155,REJECT,1
relationships,155,REJECT,1
say,155,REJECT,1
best,155,REJECT,1
case,155,REJECT,1
environment,154,REJECT,1
communicate,154,REJECT,1
elaborate,154,REJECT,1
go,153,REJECT,1
needs,153,REJECT,1
identify,153,REJECT,1
let's,152,REJECT,1
language,152,REJECT,1
h3,151,REJECT,1
risk,150,REJECT,1
medication,150,REJECT,1
sex,150,REJECT,1
choice,149,REJECT,1
high,149,REJECT,1
state,148,REJECT,1
argument,148,REJECT,1
solution,147,REJECT,1
approach,147,REJECT,1
empathy,147,REJECT,1
learning,147,REJECT,1
religious,147,REJECT,1
reason,146,REJECT,1
seek,146,REJECT,1
development,146,REJECT,1
discrimination,146,REJECT,1
reasons,145,REJECT,1
emotions,145,REJECT,1
related,145,REJECT,1
suffering,145,REJECT,1
change,145,REJECT,1
eating,145,REJECT,1
feeling,144,REJECT,1
neighborhood,144,REJECT,1
show,144,REJECT,1
always,144,REJECT,1
low,143,REJECT,1
weight,143,REJECT,1
women,143,REJECT,1
relationship,142,REJECT,1
thoughts,142,REJECT,1
disabilities,142,REJECT,1
morally,142,REJECT,1
communication,142,REJECT,1
give,141,REJECT,1
cases,141,REJECT,1
effects,141,REJECT,1
mood,141,REJECT,1
speech,140,REJECT,1
love,140,REJECT,1
food,140,REJECT,1
addiction,140,REJECT,1
face,139,REJECT,1
everyone,138,REJECT,1
genetic,137,REJECT,1
underlying,137,REJECT,1
become,136,REJECT,1
order,136,REJECT,1
excessive,134,REJECT,1
speak,134,REJECT,1
struggling,133,REJECT,1
three,132,REJECT,1
according,132,REJECT,1
better,131,REJECT,1
h2,131,REJECT,1
really,131,REJECT,1
skills,130,REJECT,1
equation,129,REJECT,1
engage,129,REJECT,1
writing,128,REJECT,1
avoid,128,REJECT,1
unpredictable,128,REJECT,1
simply,128,REJECT,1
delusions,128,REJECT,1
compassion,127,REJECT,1
going,127,REJECT,1
professional,127,REJECT,1
abuse,127,REJECT,1
individual's,126,REJECT,1
appropriate,126,REJECT,1
found,126,REJECT,1
shame,125,REJECT,1
known,124,REJECT,1
sign,124,REJECT,1
variety,124,REJECT,1
average,123,REJECT,1
trauma,123,REJECT,1
increase,123,REJECT,1
inability,123,REJECT,1
harm,122,REJECT,1
situation,122,REJECT,1
man,121,REJECT,1
age,120,REJECT,1
distress,120,REJECT,1
wrong,120,REJECT,1
calculate,120,REJECT,1
population,119,REJECT,1
focus,119,REJECT,1
hard,119,REJECT,1
address,118,REJECT,1
second,118,REJECT,1
secondly,117,REJECT,1
view,117,REJECT,1
overall,116,REJECT,1
whether,116,REJECT,1
poor,115,REJECT,1
line,114,REJECT,1
below,114,REJECT,1
unique,114,REJECT,1
require,114,REJECT,1
sentence,114,REJECT,1
deficient,114,REJECT,1
power,114,REJECT,1
necessarily,114,REJECT,1
correct,113,REJECT,1
makes,113,REJECT,1
responsible,113,REJECT,1
underline,113,REJECT,1
activity,113,REJECT,1
healthy,113,REJECT,1
community,113,REJECT,1
decisions,112,REJECT,1
memory,112,REJECT,1
thing,112,REJECT,1
read,112,REJECT,1
several,112,REJECT,1
potential,112,REJECT,1
characterless,112,REJECT,1
violent,111,REJECT,1
pressure,111,REJECT,1
act,111,REJECT,1
reality,111,REJECT,1
parents,111,REJECT,1
difference,110,REJECT,1
quality,110,REJECT,1
data,110,REJECT,1
done,110,REJECT,1
towards,110,REJECT,1
biological,109,REJECT,1
research,109,REJECT,1
capable,109,REJECT,1
fulfilling,109,REJECT,1
range,109,REJECT,1
providing,108,REJECT,1
public,108,REJECT,1
called,108,REJECT,1
made,108,REJECT,1
crucial,108,REJECT,1
types,107,REJECT,1
mass,107,REJECT,1
respect,107,REJECT,1
role,106,REJECT,1
changes,106,REJECT,1
isolation,106,REJECT,1
effectively,106,REJECT,1
various,106,REJECT,1
drug,106,REJECT,1
movements,106,REJECT,1
states,105,REJECT,1
water,105,REJECT,1
circ,105,REJECT,1
nature,105,REJECT,1
sometimes,105,REJECT,1
lot,104,REJECT,1
study,104,REJECT,1
environmental,104,REJECT,1
said,104,REJECT,1
interest,104,REJECT,1
living,104,REJECT,1
period,103,REJECT,1
cost,102,REJECT,1
history,101,REJECT,1
real,101,REJECT,1
further,101,REJECT,1
total,101,REJECT,1
justify,101,REJECT,1
don,100,REJECT,1
improve,100,REJECT,1
least,100,REJECT,1
blood,100,REJECT,1
talk,99,REJECT,1
reaction,99,REJECT,1
blaming,99,REJECT,1
attention,99,REJECT,1
try,98,REJECT,1
drugs,98,REJECT,1
men,98,REJECT,1
thought,97,REJECT,1
values,97,REJECT,1
participate,96,REJECT,1
cognitive,96,REJECT,1
learn,96,REJECT,1
choose,96,REJECT,1
necessary,96,REJECT,1
affected,96,REJECT,1
students,96,REJECT,1
questions,96,REJECT,1
main,96,REJECT,1
schizophrenia,96,REJECT,1
discuss,95,REJECT,1
punished,95,REJECT,1
thinking,95,REJECT,1
essential,95,REJECT,1
amount,95,REJECT,1
functioning,95,REJECT,1
math,95,REJECT,1
law,94,REJECT,1
define,93,REJECT,1
trouble,93,REJECT,1
examples,92,REJECT,1
false,92,REJECT,1
great,92,REJECT,1
overcome,92,REJECT,1
constant,92,REJECT,1
frac,92,REJECT,1
terms,92,REJECT,1
intense,92,REJECT,1
general,92,REJECT,1
diagnosis,92,REJECT,1
esteem,92,REJECT,1
down,90,REJECT,1
ocd,90,REJECT,1
occur,89,REJECT,1
diagnosed,89,REJECT,1
treat,89,REJECT,1
natural,88,REJECT,1
group,88,REJECT,1
unfair,88,REJECT,1
kg,88,REJECT,1
woman,88,REJECT,1
reading,88,REJECT,1
nightmares,88,REJECT,1
sample,87,REJECT,1
company,87,REJECT,1
trying,87,REJECT,1
clear,87,REJECT,1
above,87,REJECT,1
assume,87,REJECT,1
look,87,REJECT,1
dsm,86,REJECT,1
speed,86,REJECT,1
occurs,86,REJECT,1
cm,86,REJECT,1
past,86,REJECT,1
abilities,86,REJECT,1
