ngram,count,label,n
mental health,505,REJECT,2
text text,252,REJECT,2
medical condition,246,REJECT,2
mathrm mathrm,242,REJECT,2
strong strong,240,REJECT,2
important understand,237,REJECT,2
mental illness,220,REJECT,2
important recognize,199,REJECT,2
god's wrath,178,REJECT,2
crazy dangerous,174,REJECT,2
health condition,169,REJECT,2
important note,155,REJECT,2
it's important,140,REJECT,2
firstly important,127,REJECT,2
em em,126,REJECT,2
now let's,122,REJECT,2
important remember,122,REJECT,2
right vote,118,REJECT,2
facing god's,113,REJECT,2
person's ability,112,REJECT,2
however important,112,REJECT,2
condition affects,108,REJECT,2
health conditions,107,REJECT,2
morally deficient,107,REJECT,2
begin array,100,REJECT,2
treatment support,99,REJECT,2
provide support,96,REJECT,2
condition characterized,94,REJECT,2
end array,92,REJECT,2
dangerous unpredictable,92,REJECT,2
quality life,91,REJECT,2
support resources,91,REJECT,2
self esteem,91,REJECT,2
make difficult,90,REJECT,2
disorder characterized,89,REJECT,2
first important,85,REJECT,2
lead feelings,82,REJECT,2
condition requires,81,REJECT,2
physical symptoms,81,REJECT,2
manage symptoms,78,REJECT,2
circ mathrm,76,REJECT,2
need understand,73,REJECT,2
cdots cdots,73,REJECT,2
anxiety depression,70,REJECT,2
first need,69,REJECT,2
factors including,69,REJECT,2
stigma discrimination,69,REJECT,2
feel like,68,REJECT,2
support treatment,66,REJECT,2
mental disorder,65,REJECT,2
empathy understanding,65,REJECT,2
environmental factors,63,REJECT,2
factors contribute,63,REJECT,2
variety factors,62,REJECT,2
disorder affects,62,REJECT,2
affects person's,62,REJECT,2
let's consider,61,REJECT,2
important acknowledge,60,REJECT,2
blame conditions,60,REJECT,2
health issues,59,REJECT,2
united states,57,REJECT,2
help manage,57,REJECT,2
fulfilling lives,57,REJECT,2
seek help,56,REJECT,2
important approach,56,REJECT,2
punishment god,56,REJECT,2
bipolar disorder,56,REJECT,2
communicate effectively,55,REJECT,2
condition where,54,REJECT,2
professional help,54,REJECT,2
compassion understanding,53,REJECT,2
scientific evidence,52,REJECT,2
blame condition,52,REJECT,2
social situations,52,REJECT,2
low self,52,REJECT,2
mental disorders,51,REJECT,2
impact person's,51,REJECT,2
need help,51,REJECT,2
following theme,51,REJECT,2
neurological disorder,51,REJECT,2
depression anxiety,51,REJECT,2
learning disability,51,REJECT,2
medical conditions,50,REJECT,2
wrath god,50,REJECT,2
daily life,49,REJECT,2
health problems,49,REJECT,2
caused variety,48,REJECT,2
even though,48,REJECT,2
sexual intercourse,48,REJECT,2
affect person's,47,REJECT,2
elaborate following,47,REJECT,2
answer question,47,REJECT,2
manage condition,47,REJECT,2
live neighborhood,45,REJECT,2
neurological condition,45,REJECT,2
underline text,45,REJECT,2
significant impact,44,REJECT,2
important provide,44,REJECT,2
like anyone,44,REJECT,2
support understanding,43,REJECT,2
requires treatment,42,REJECT,2
symptoms include,42,REJECT,2
improve quality,42,REJECT,2
condition caused,42,REJECT,2
health well,42,REJECT,2
punished god,42,REJECT,2
mathrm cm,41,REJECT,2
evidence support,40,REJECT,2
religious beliefs,40,REJECT,2
themselves others,40,REJECT,2
psychological factors,40,REJECT,2
resources help,39,REJECT,2
ability communicate,39,REJECT,2
individual's ability,39,REJECT,2
lack understanding,39,REJECT,2
lead fulfilling,38,REJECT,2
serious mental,38,REJECT,2
allowed live,38,REJECT,2
support accommodations,38,REJECT,2
nervous system,38,REJECT,2
text hspace,38,REJECT,2
difficulty understanding,37,REJECT,2
symptoms improve,37,REJECT,2
